county,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Ca, Los Angeles County",6,37,9,6,7,2,8,11,9,8,7,11,6,0,20,6,4,2,3,4
"Ca, Madera County",6,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"Ca, Marin County",6,41,1,4,4,0,3,6,3,2,3,4,1,3,6,3,3,3,0,2
"Ca, Mariposa County",6,43,0,1,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0
"Ca, Mendocino County",6,45,4,10,6,2,1,0,5,9,7,10,7,4,1,2,0,1,2,0
"Ca, Merced County",6,47,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ca, Modoc County",6,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ca, Mono County",6,51,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Ca, Monterey County",6,53,1,5,1,1,0,0,0,0,0,1,1,1,1,0,2,2,0,0
"Ca, Napa County",6,55,3,1,0,1,1,0,3,0,2,0,1,2,1,2,1,1,0,2
"Ca, Nevada County",6,57,6,3,4,1,3,2,2,2,1,5,6,2,0,0,0,2,0,1
"Ca, Orange County",6,59,0,3,2,0,1,2,1,1,1,7,6,0,0,0,0,0,0,0
"Ca, Placer County",6,61,4,3,0,2,2,3,0,1,4,0,1,2,1,0,0,2,3,0
"Ca, Plumas County",6,63,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ca, Riverside County",6,65,2,1,2,1,4,0,0,1,5,1,5,1,2,3,2,4,4,5
"Ca, Sacramento County",6,67,4,2,4,2,6,3,2,0,0,1,1,0,0,0,0,1,1,3
"Ca, San Benito County",6,69,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Ca, San Bernardino County",6,71,0,0,1,0,0,0,0,1,2,0,2,0,1,0,1,1,0,1
"Ca, San Diego County",6,73,3,7,2,4,8,9,5,3,10,10,7,6,6,7,10,7,5,7
"Ca, San Francisco County",6,75,3,3,3,1,8,6,3,5,1,10,1,1,9,0,0,0,18,16
"Ca, San Joaquin County",6,77,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,1,0,1
