county,state,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Anne Arundel County,MD,11.82,10.08,18.88,15.01,10.03,12.82,6.87,12.36,12.53,16.91,26.51,11.2,8.1,11.14,9.64,13.57,15.22,26.54,7.42,21.08,15.74
Anoka County,MN,9.19,18.99,6.92,10.71,13.59,11.36,12.59,8.23,9.6,15.97,12.86,6.52,5.58,9.44,13.84,19.95,10.84,12.78,14.3,8.3,8.06
Anson County,NC,7.53,12.55,14.4,20.24,10.49,11.68,5.11,20.82,8.55,14.01,15.35,19.11,15.14,13.85,9.92,16.34,11.09,22.44,9.47,15.55,12.61
Antelope County,NE,12.12,7.46,6.79,10.14,7.79,10.12,12.46,9.25,7.94,10.43,7.51,1.66,7.11,10.82,12.02,9.4,11.33,10,10.01,6.19,9.07
Antrim County,MI,9.01,8.25,10.73,7.03,12.08,9.62,8.03,7.41,9.51,11.8,8.07,7.73,8.57,11.81,9.19,10.47,8.73,9.93,9.47,11.59,14.58
Apache County,AZ,4.45,6.05,4.14,4.21,3.82,6.45,5.57,4.59,2.46,5.85,5.43,5.19,7.39,5.78,6.37,5.29,4.48,4.82,3.36,1.94,6.76
Appanoose County,IA,10.09,8.29,10.91,14.82,7.17,11.96,14.36,20.55,14.95,27.24,5.27,3.86,5.19,17.04,18.09,12.28,8.24,12.33,17.83,8.36,13.64
Appling County,GA,13.99,16.56,18.27,25.91,12.15,11.69,18.58,13.79,12.77,12.4,12.3,14.85,19.35,14.01,12.77,11.88,18.59,13.8,9.76,15.78,21.8
Appomattox County,VA,9.86,9.62,21.47,14.47,8.53,14.84,4.83,11.89,11.34,13.03,15.37,12.23,11.04,9.27,12.65,9.43,8.06,18.66,8.61,22.91,10.73
Aransas County,TX,13.25,19.75,22.4,5.87,8.32,21.68,26.13,9.98,6.01,23.53,1.88,9.86,10.34,6.79,9.04,7.68,9.27,23.38,5.52,7.29,21.98
Arapahoe County,CO,5.99,2.92,4,6.57,3.87,7,5.66,6.86,6.13,4.56,5.72,4.61,10.21,8.99,3.81,3.75,5.09,4.52,5.36,2.7,2.61
Archer County,TX,4.21,8.11,5.11,9.87,13.18,4.96,8.06,7.28,10.99,11.05,1.45,7.61,8.97,7.61,3.99,12.35,12.17,10.6,4.28,12.27,5.57
Archuleta County,CO,5.75,5.37,6.04,6.48,5.76,10.8,7.63,5.99,4.39,8.29,6.12,6.28,11.39,6.61,6.6,6.67,8.41,3.66,3.98,4.49,6.44
Arenac County,MI,8.46,8.75,7.53,4.99,11.35,9.31,6.22,11.02,8.16,10.75,9.14,7.57,5.62,12.07,9.19,11.36,7.11,10.24,8.32,9.08,12.74
Arkansas County,AR,5.98,8.9,7.38,5.72,13.48,8.86,11.42,17.05,19.48,6.98,9.69,13.93,9.19,8.23,5.22,10.69,8.98,11.2,8.26,13.64,8.11
Arlington County,VA,13.51,8.32,19.31,15.58,9.18,10.97,6.73,11.49,10.21,14.62,21.07,9.41,8.7,10.19,8.35,10.43,15.48,24.95,9.3,19.76,17.38
Armstrong County,PA,9.19,8.75,18.64,21.1,9.48,14.6,12.53,8.97,12.2,10.13,16.94,15.52,15.59,11.85,13.56,11.84,10.93,21.77,13.64,9.38,17.29
Armstrong County,TX,5.74,7.81,4.22,7.54,5.54,9.53,6.51,8.15,9.02,9.15,2.52,5.58,7.81,7.57,8.29,10.04,11.48,7.28,7.18,4.7,5.98
Aroostook County,ME,10.8,10.57,12.11,13.94,15.15,11.89,10.99,14.3,11.4,10.35,16.83,9.16,15.73,10.23,12.89,11.85,7.82,10.26,11.06,6.76,13.13
Arthur County,NE,10.14,7.14,4.43,9.01,5.17,6.78,8.2,6.4,8.41,8.96,10.48,2.5,6.64,7.03,6.24,5.77,7.55,8,8.97,4.45,7.41
Ascension Parish,LA,18.37,21.77,18.1,9.54,19.33,15.3,16.47,21.46,15.01,16.34,24.01,32.96,17.5,16.58,12.79,33.14,19.35,20.25,17.28,18.54,28.81
Ashe County,NC,13.66,14.3,19.7,21.28,11.78,15.46,8.63,15.21,16.44,13.02,15.19,15.25,24.4,13.68,19.09,14.1,12.83,21.94,9.76,21.01,16.29
Ashland County,OH,8.25,7.94,16.6,11.38,13.53,12.45,14.9,8.78,10.12,8.17,12.98,11.99,11.42,8.8,7.97,9.53,9.32,12.78,11.89,10,13.09
Ashland County,WI,8.9,15.8,8.74,10.58,9.85,11.37,9.31,8.38,7.78,18.69,9.46,7.1,11.31,14.34,8.41,15.43,11.33,14.35,12.84,12.78,7.75
Ashley County,AR,11.5,9.74,10.26,7.45,11.65,7.01,16.18,25.52,17.87,7.1,10.77,13.65,8.05,10.86,6.01,13.17,14.46,10.78,7.31,15.27,10.53
Ashtabula County,OH,9.09,9.2,15.14,15.52,14.23,19.86,12.42,12.33,10.7,11.05,16.42,12.74,14.1,13.69,9.05,13.24,7.84,11.32,13.37,10.35,14.25
Asotin County,WA,1.56,1.94,2.15,2.72,0.91,1.37,0.65,2.21,2.72,1.7,0.73,1.07,3.02,2.19,0.98,2.75,0.83,0.76,2.19,0.77,1.38
Assumption Parish,LA,20.19,22.09,19.23,11.95,19.73,19.94,17.6,22.5,17.15,18.49,23.7,29.8,16.66,17.83,11.42,30.33,21.96,21.73,16.22,15.1,24.98
