county,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,lat,lon,FIPS
"NC, Sampson",,,0.0,,,,,,,,,,,,,,,,,,34.990575,-78.371382,37163
"NC, Scotland",,,,,,,,,,,,1.0,,,,,,,,,34.840023,-79.477337,37165
"NC, Stanly",,0.0,0.0,,,,,,,,,,,,,,,,,,35.310523,-80.254355,37167
"NC, Stokes",,0.0,0.0,,,,,,,,,,,,,,,,,,36.404195,-80.239271,37169
"NC, Surry",,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,36.415416,-80.686463,37171
"NC, Swain",,,0.0,,,,,,,,,,,,,,,,,,35.568849,-83.465614,37173
"NC, Transylvania",,0.0,0.0,,,,,,,,,,,,,,,,,,35.210095,-82.816696,37175
"NC, Tyrrell",0.0,,0.0,,,,,,,,,,,,,,,,,,35.87042,-76.165345,37177
"NC, Union",,0.0,0.0,,,,,,,,,0.0,,,,,,,,,34.991501,-80.530131,37179
"NC, Vance",,1.0,0.0,,,,,,,,,,,,,,0.0,,,,36.365481,-78.405434,37181
"NC, Wake",,0.0,3.0,,,,1.0,,,,,,,0.0,0.0,,,1.0,,,35.789846,-78.650624,37183
"NC, Warren",,0.0,0.0,,,,,,,,,,,,,,,,,,36.397979,-78.099924,37185
"NC, Washington",,,0.0,,,,,,,,,,,,,,,,,,35.844589,-76.572334,37187
"NC, Watauga",,,0.0,,,,1.0,1.0,,,,,,,,,,,,,36.235371,-81.709919,37189
"NC, Wayne",,,,,,,,,,,,1.0,,,,,,,,,35.362741,-78.004826,37191
"NC, Wilkes",,0.0,0.0,,,0.0,,,,,,,,,,,,,,,36.209303,-81.165354,37193
"NC, Wilson",,0.0,0.0,,,,,,,,,,1.0,,,,,,,,35.704125,-77.918982,37195
"NC, Yadkin",,0.0,,,0.0,,,,,,,,,,,,,0.0,,,36.158765,-80.665164,37197
"ND, Adams",,0.0,7.0,,,,2.0,,,,,,1.0,,,,,1.0,,,46.096815,-102.533198,38001
"ND, Barnes",,2.0,4.0,,0.0,1.0,3.0,,,,,9.0,3.0,1.0,,3.0,1.0,1.0,,,46.94255,-98.070195,38003
"ND, Benson",,0.0,3.0,1.0,1.0,4.0,3.0,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,,,48.071738,-99.361987,38005
"ND, Billings",,0.0,1.0,,,,,,,,,,,,,,,1.0,,,47.009283,-103.364924,38007
"ND, Bottineau",,0.0,5.0,0.0,,1.0,1.0,1.0,,1.0,,0.0,2.0,,1.0,,1.0,1.0,,,48.794412,-100.831257,38009
"ND, Bowman",,0.0,11.0,0.0,1.0,0.0,7.0,,,,,,,,,2.0,,1.0,,,46.107807,-103.506586,38011
"ND, Burke",,0.0,5.0,1.0,,1.0,3.0,,,,,,,,1.0,,,2.0,,,48.786453,-102.520087,38013
"ND, Burleigh",,0.0,98.0,3.0,15.0,63.0,55.0,6.0,1.0,2.0,,11.0,23.0,5.0,6.0,7.0,8.0,69.0,2.0,,46.971843,-100.462001,38015
"ND, Cass",,4.0,32.0,0.0,12.0,8.0,49.0,2.0,,,,8.0,17.0,2.0,0.0,21.0,4.0,16.0,,,46.927003,-97.252375,38017
"ND, Cavalier",,0.0,1.0,0.0,,1.0,2.0,1.0,,,0.0,,,,,,,1.0,,,48.768439,-98.46379,38019
"ND, Dickey",,1.0,18.0,0.0,2.0,2.0,10.0,1.0,,,,7.0,3.0,,1.0,3.0,,0.0,,,46.107756,-98.496518,38021
"ND, Divide",,,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,,48.818142,-103.497653,38023
"ND, Dunn",,0.0,13.0,1.0,,,4.0,,,,,,2.0,,0.0,1.0,,1.0,,,47.35461,-102.612365,38025
"ND, Eddy",,0.0,2.0,0.0,1.0,,1.0,,,,,1.0,,,,,,,,,47.723436,-98.900475,38027
"ND, Emmons",,0.0,7.0,1.0,1.0,,5.0,,,0.0,,3.0,2.0,2.0,,0.0,,1.0,,,46.284255,-100.237842,38029
"ND, Foster",,1.0,6.0,,2.0,1.0,,0.0,,,,1.0,,,0.0,1.0,,2.0,,,47.464327,-98.872817,38031
"ND, Golden Valley",,0.0,0.0,,,,2.0,,,,,,,,,,1.0,,1.0,,46.938924,-103.844612,38033
"ND, Grand Forks",,1.0,2.0,0.0,2.0,2.0,3.0,1.0,,,,3.0,3.0,1.0,1.0,5.0,0.0,6.0,1.0,,47.926003,-97.450851,38035
"ND, Grant",,0.0,7.0,0.0,1.0,1.0,3.0,1.0,,,,0.0,3.0,,,,,1.0,,,46.357827,-101.639049,38037
"ND, Griggs",,0.0,3.0,0.0,,,2.0,,,,,0.0,1.0,,,1.0,1.0,,,,47.463463,-98.232444,38039
"ND, Hettinger",,0.0,3.0,,,1.0,2.0,1.0,,,,,,1.0,0.0,,,1.0,,1.0,46.434939,-102.458385,38041
"ND, Kidder",,0.0,3.0,,1.0,,,,,,,,,,,,,,,,46.935385,-99.742727,38043
"ND, La Moure",,0.0,26.0,,1.0,,5.0,,,,,6.0,3.0,,,,1.0,4.0,,,46.464195,-98.526057,38045
"ND, Logan",,0.0,4.0,,,1.0,,,,,,,1.0,1.0,,,,,,,46.469278,-99.504585,38047
"ND, Mchenry",,0.0,18.0,0.0,0.0,2.0,3.0,,,,,1.0,2.0,0.0,,1.0,1.0,4.0,1.0,,48.233842,-100.633267,38049
"ND, Mcintosh",,0.0,4.0,,2.0,1.0,,1.0,,0.0,,3.0,1.0,,,3.0,,,,,46.117034,-99.443041,38051
"ND, Mckenzie",,0.0,10.0,,1.0,,3.0,2.0,,,,0.0,2.0,,,,8.0,3.0,,,47.742475,-103.403215,38053
"ND, Mclean",,2.0,28.0,1.0,4.0,2.0,13.0,1.0,,,,4.0,8.0,,6.0,1.0,2.0,4.0,,2.0,47.653055,-101.421794,38055
"ND, Mercer",,0.0,17.0,3.0,2.0,5.0,12.0,2.0,,,,,5.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,47.303279,-101.820765,38057
"ND, Morton",,1.0,48.0,0.0,7.0,14.0,23.0,5.0,,1.0,1.0,1.0,3.0,4.0,1.0,5.0,3.0,19.0,,,46.713789,-101.279743,38059
"ND, Mountrail",,0.0,6.0,0.0,2.0,1.0,7.0,,,,,,,1.0,,,6.0,7.0,,0.0,48.210291,-102.364756,38061
"ND, Nelson",,0.0,2.0,0.0,1.0,,2.0,1.0,0.0,,,2.0,,0.0,,,,1.0,,,47.918667,-98.204428,38063
"ND, Oliver",,0.0,7.0,,,1.0,3.0,,,,,,,,,,1.0,,,,47.118079,-101.33142,38065
"ND, Pembina",,0.0,0.0,,1.0,,3.0,,,0.0,0.0,0.0,,,,,,0.0,,,48.766896,-97.545405,38067
"ND, Pierce",,0.0,2.0,0.0,,,5.0,,,,,,,,,1.0,2.0,,,,48.238883,-99.966497,38069
"ND, Ramsey",,0.0,12.0,0.0,0.0,6.0,6.0,0.0,,,1.0,5.0,2.0,,,2.0,1.0,5.0,,,48.265551,-98.737329,38071
"ND, Ransom",,0.0,11.0,0.0,,2.0,6.0,,,,,3.0,2.0,,1.0,1.0,1.0,1.0,,,46.449276,-97.647554,38073
"ND, Renville",,0.0,7.0,0.0,,,1.0,,,,,0.0,,,,,,,,,48.712782,-101.658152,38075
"ND, Richland",,0.0,11.0,1.0,1.0,2.0,10.0,1.0,,1.0,,3.0,10.0,2.0,0.0,2.0,2.0,1.0,0.0,,46.265219,-96.93796,38077
"ND, Rolette",,0.0,3.0,,1.0,,3.0,,0.0,,,,,,,,,,,,48.768272,-99.840463,38079
"ND, Sargent",,0.0,14.0,1.0,1.0,2.0,6.0,,,,,1.0,3.0,,,2.0,,1.0,,1.0,46.108206,-97.63003,38081
"ND, Sheridan",,0.0,6.0,,,0.0,1.0,,,,,1.0,,,,1.0,,1.0,,,47.581373,-100.341499,38083
"ND, Sioux",,0.0,6.0,,1.0,,5.0,2.0,,,,,,,,1.0,,2.0,,,46.109282,-101.047525,38085
"ND, Slope",,0.0,2.0,,,,1.0,,,,,,,,,,,,,,46.445834,-103.462462,38087
"ND, Stark",,0.0,22.0,2.0,0.0,2.0,18.0,,,,,0.0,6.0,0.0,,,4.0,6.0,0.0,1.0,46.817031,-102.662026,38089
"ND, Steele",,0.0,0.0,,,,2.0,,,,,3.0,,,,,1.0,,,,47.458288,-97.718895,38091
"ND, Stutsman",,2.0,30.0,,5.0,4.0,21.0,1.0,,1.0,1.0,8.0,7.0,1.0,1.0,3.0,1.0,6.0,0.0,,46.971103,-98.957592,38093
"ND, Towner",,0.0,2.0,1.0,,0.0,1.0,,,,1.0,,,,,,,,,,48.682183,-99.248158,38095
"ND, Traill",,1.0,2.0,,2.0,,6.0,,,,,2.0,,,,2.0,1.0,1.0,1.0,,47.446215,-97.164754,38097
"ND, Walsh",,2.0,7.0,,2.0,2.0,4.0,1.0,,,0.0,1.0,2.0,,,1.0,2.0,,,,48.376979,-97.72223,38099
"ND, Ward",,0.0,44.0,2.0,8.0,1.0,25.0,,,2.0,0.0,,5.0,,2.0,6.0,2.0,15.0,1.0,1.0,48.216686,-101.540537,38101
"ND, Wells",,0.0,5.0,1.0,,1.0,4.0,1.0,,1.0,,,2.0,0.0,,4.0,,1.0,,,47.580851,-99.671502,38103
"ND, Williams",,0.0,29.0,0.0,3.0,2.0,12.0,4.0,,,,1.0,1.0,1.0,0.0,2.0,4.0,11.0,1.0,,48.345867,-103.4874,38105
"NE, Adams",,1.0,123.0,6.0,18.0,9.0,6.0,3.0,4.0,0.0,0.0,7.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,,40.520632,-98.500044,31001
"NE, Antelope",,0.0,3.0,0.0,1.0,0.0,4.0,,,,,1.0,1.0,,,2.0,,,,,42.183225,-98.058037,31003
"NE, Arthur",,0.0,0.0,,,,0.0,,,,,0.0,,,,,,,,,41.570856,-101.697045,31005
"NE, Banner",,0.0,,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,,,41.53975,-103.726263,31007
"NE, Blaine",,0.0,2.0,,,,,,,,,1.0,1.0,,,,,,,,41.92523,-99.990771,31009
"NE, Boone",,2.0,24.0,1.0,2.0,2.0,4.0,,,1.0,0.0,4.0,2.0,1.0,3.0,1.0,,1.0,,,41.7054,-98.066794,31011
"NE, Box Butte",,0.0,13.0,,3.0,,2.0,,1.0,0.0,,2.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,,42.215665,-103.087821,31013
"NE, Boyd",,0.0,5.0,,,,,,0.0,,,1.0,1.0,,1.0,,,,1.0,,42.894448,-98.773022,31015
"NE, Brown",,0.0,15.0,,4.0,5.0,,,,1.0,,4.0,2.0,3.0,1.0,,,,,,42.34939,-99.923176,31017
"NE, Buffalo",,7.0,167.0,4.0,13.0,28.0,6.0,0.0,1.0,2.0,,6.0,13.0,11.0,2.0,0.0,2.0,5.0,1.0,1.0,40.855226,-99.074983,31019
"NE, Burt",,1.0,4.0,1.0,1.0,0.0,3.0,,0.0,1.0,,0.0,1.0,1.0,,,,1.0,,,41.854179,-96.337746,31021
"NE, Butler",,0.0,11.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,3.0,2.0,,2.0,1.0,,4.0,,,41.226072,-97.13204,31023
"NE, Cass",,1.0,2.0,1.0,,,0.0,0.0,,,1.0,,,,1.0,,,9.0,,,40.909878,-96.140609,31025
"NE, Cedar",,1.0,2.0,0.0,0.0,,2.0,1.0,,1.0,,1.0,6.0,1.0,,3.0,,,,,42.604511,-97.256824,31027
"NE, Chase",,1.0,30.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,1.0,0.0,1.0,,,40.53039,-101.694192,31029
"NE, Cherry",,1.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,,,42.566985,-101.072622,31031
"NE, Cheyenne",,0.0,5.0,,4.0,0.0,1.0,1.0,,3.0,,1.0,1.0,1.0,,,2.0,,,,41.214236,-103.011929,31033
"NE, Clay",,0.0,38.0,0.0,5.0,4.0,3.0,,,,0.0,1.0,2.0,2.0,,1.0,,1.0,,,40.523669,-98.05105,31035
"NE, Colfax",,1.0,11.0,1.0,0.0,2.0,,,,1.0,,4.0,1.0,,1.0,1.0,,3.0,,,41.574675,-97.089455,31037
"NE, Cuming",,1.0,7.0,0.0,5.0,4.0,3.0,,,0.0,,1.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,,41.915865,-96.788517,31039
"NE, Custer",,6.0,63.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,,6.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,,41.393893,-99.726866,31041
"NE, Dakota",,0.0,1.0,,0.0,,,,,,,1.0,2.0,1.0,,1.0,,0.0,,1.0,42.390456,-96.562549,31043
"NE, Dawes",,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,42.711214,-103.134872,31045
"NE, Dawson",,7.0,80.0,5.0,5.0,9.0,3.0,1.0,1.0,0.0,1.0,4.0,11.0,5.0,1.0,1.0,1.0,7.0,0.0,0.0,40.867378,-99.815154,31047
"NE, Deuel",,0.0,7.0,1.0,2.0,,,0.0,1.0,,0.0,,1.0,,,,2.0,2.0,,,41.112988,-102.332604,31049
"NE, Dixon",,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,2.0,0.0,,0.0,0.0,1.0,1.0,,,42.48528,-96.855862,31051
"NE, Dodge",,1.0,36.0,0.0,4.0,7.0,4.0,1.0,,0.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,9.0,,0.0,41.577008,-96.645853,31053
"NE, Douglas",,8.0,59.0,2.0,13.0,24.0,11.0,4.0,3.0,8.0,10.0,15.0,17.0,5.0,3.0,7.0,6.0,71.0,7.0,2.0,41.297091,-96.154066,31055
"NE, Dundy",,0.0,7.0,,0.0,,1.0,0.0,,,,,,2.0,,,0.0,,,,40.180165,-101.681133,31057
"NE, Fillmore",,0.0,23.0,0.0,3.0,2.0,0.0,,,,,,,2.0,,,1.0,5.0,0.0,,40.52504,-97.596705,31059
"NE, Franklin",,2.0,10.0,0.0,1.0,1.0,,,,,,,,0.0,,,0.0,2.0,,,40.183203,-98.96208,31061
"NE, Frontier",,0.0,7.0,1.0,,1.0,0.0,,,,,0.0,1.0,,,1.0,,,,,40.530947,-100.406683,31063
"NE, Furnas",,1.0,25.0,1.0,3.0,3.0,1.0,,,,,1.0,3.0,1.0,,2.0,,0.0,,,40.191991,-99.909661,31065
"NE, Gage",,4.0,30.0,,2.0,3.0,1.0,,,,,0.0,5.0,,1.0,1.0,1.0,2.0,1.0,,40.255234,-96.683453,31067
"NE, Garden",,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,41.659381,-102.328229,31069
"NE, Garfield",,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,41.905572,-98.922998,31071
"NE, Gosper",,2.0,3.0,0.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,40.509838,-99.824078,31073
"NE, Grant",,0.0,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,0.0,,,41.915867,-101.756875,31075
"NE, Greeley",,0.0,8.0,,,,,,,,,2.0,,2.0,,,,,,,41.5676,-98.530566,31077
"NE, Hall",,21.0,123.0,0.0,6.0,12.0,9.0,3.0,3.0,1.0,0.0,7.0,6.0,12.0,0.0,4.0,5.0,5.0,0.0,0.0,40.866023,-98.498004,31079
"NE, Hamilton",,3.0,51.0,1.0,6.0,8.0,1.0,,2.0,,,1.0,3.0,4.0,1.0,2.0,,2.0,,,40.877145,-98.021943,31081
"NE, Harlan",,2.0,17.0,0.0,1.0,2.0,1.0,,,1.0,,,,2.0,1.0,,0.0,1.0,,,40.178766,-99.403418,31083
"NE, Hayes",,0.0,3.0,,,,,,1.0,,,,,,,,,,,,40.535786,-101.05558,31085
"NE, Hitchcock",,1.0,9.0,,0.0,1.0,1.0,,,,,,1.0,,,,,,1.0,,40.176896,-101.044217,31087
"NE, Holt",,2.0,32.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,9.0,5.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,42.459287,-98.784766,31089
"NE, Hooker",,0.0,2.0,,0.0,,,1.0,,,,,1.0,,,,,1.0,,,41.9187,-101.11681,31091
"NE, Howard",,0.0,10.0,1.0,0.0,2.0,1.0,0.0,1.0,,,0.0,2.0,0.0,,1.0,1.0,1.0,,,41.219403,-98.513303,31093
"NE, Jefferson",,0.0,10.0,,1.0,0.0,1.0,,0.0,1.0,1.0,2.0,1.0,0.0,,0.0,,0.0,,,40.175736,-97.143103,31095
"NE, Johnson",,1.0,4.0,0.0,,,,,0.0,,,,,,,,,,,,40.395457,-96.268562,31097
"NE, Kearney",,4.0,30.0,0.0,2.0,7.0,,,,1.0,,0.0,2.0,1.0,,1.0,1.0,2.0,,,40.506269,-98.948461,31099
"NE, Keith",,0.0,34.0,2.0,5.0,5.0,2.0,1.0,,0.0,,1.0,4.0,1.0,1.0,2.0,1.0,,,,41.194404,-101.644474,31101
"NE, Keya Paha",,0.0,4.0,1.0,,,,1.0,0.0,,,,,,,,,,,,42.87548,-99.718351,31103
"NE, Kimball",,0.0,14.0,,,,,,,,,0.0,,,,,,,,,41.199155,-103.711105,31105
"NE, Knox",,2.0,12.0,,2.0,,1.0,0.0,,1.0,,7.0,3.0,,,6.0,0.0,2.0,,,42.634405,-97.891349,31107
"NE, Lancaster",,16.0,114.0,3.0,7.0,15.0,12.0,5.0,1.0,3.0,1.0,15.0,14.0,7.0,10.0,9.0,5.0,18.0,1.0,6.0,40.783547,-96.688658,31109
"NE, Lincoln",,4.0,126.0,3.0,2.0,17.0,11.0,3.0,2.0,3.0,0.0,21.0,13.0,12.0,0.0,6.0,1.0,6.0,2.0,0.0,41.050322,-100.744481,31111
"NE, Logan",,0.0,5.0,,1.0,,,,,,,,0.0,,,0.0,,,,1.0,41.542156,-100.443665,31113
"NE, Loup",,0.0,0.0,,0.0,,,,,,,,1.0,,,,,,,,41.897714,-99.509764,31115
"NE, Madison",,2.0,10.0,0.0,3.0,6.0,1.0,1.0,4.0,0.0,0.0,5.0,3.0,3.0,2.0,2.0,1.0,8.0,1.0,,41.909929,-97.606856,31119
"NE, Mcpherson",,0.0,1.0,,,,,,,,,0.0,,,,,,,,,41.596473,-101.060237,31117
"NE, Merrick",,5.0,24.0,,,2.0,3.0,1.0,,,,1.0,,3.0,1.0,1.0,,1.0,,,41.169801,-98.031051,31121
"NE, Morrill",,0.0,7.0,1.0,4.0,4.0,4.0,2.0,0.0,,,5.0,2.0,1.0,1.0,,4.0,2.0,,,41.732205,-102.990599,31123
"NE, Nance",,0.0,7.0,,1.0,1.0,0.0,,1.0,,,,,1.0,,,,1.0,,1.0,41.402386,-97.991408,31125
"NE, Nemaha",,0.0,3.0,0.0,,0.0,,1.0,,,,,1.0,2.0,,,,3.0,,,40.387448,-95.850954,31127
"NE, Nuckolls",,0.0,4.0,0.0,2.0,1.0,1.0,,,,,,0.0,2.0,2.0,1.0,,2.0,,,40.176492,-98.046842,31129
"NE, Otoe",,1.0,11.0,0.0,0.0,0.0,,0.0,,,,,,1.0,1.0,0.0,,3.0,,,40.637992,-96.131027,31131
"NE, Pawnee",,1.0,2.0,,,,,,,,,,,1.0,,,,,,,40.13785,-96.245225,31133
"NE, Perkins",,0.0,14.0,1.0,0.0,2.0,3.0,,3.0,1.0,,,2.0,,1.0,,1.0,0.0,,,40.856065,-101.636443,31135
"NE, Phelps",,3.0,42.0,2.0,3.0,8.0,2.0,0.0,2.0,1.0,0.0,1.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,40.516365,-99.406557,31137
"NE, Pierce",,0.0,7.0,,1.0,,0.0,,,,,2.0,1.0,2.0,,1.0,0.0,,,1.0,42.271413,-97.610992,31139
"NE, Platte",,7.0,38.0,0.0,8.0,9.0,5.0,1.0,3.0,,,0.0,2.0,6.0,2.0,1.0,2.0,4.0,0.0,0.0,41.576866,-97.513467,31141
"NE, Polk",,1.0,21.0,,2.0,2.0,1.0,,1.0,,,3.0,2.0,0.0,0.0,1.0,,2.0,,,41.187925,-97.570663,31143
"NE, Red Willow",,0.0,37.0,1.0,0.0,2.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,40.16942,-100.468576,31145
"NE, Richardson",,0.0,2.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,2.0,,,40.123743,-95.718603,31147
"NE, Rock",,0.0,4.0,,0.0,,3.0,,,,,,,,,,,,,,42.413325,-99.45853,31149
"NE, Saline",,5.0,19.0,,3.0,7.0,0.0,2.0,1.0,,,0.0,6.0,2.0,1.0,0.0,1.0,1.0,,,40.516802,-97.131755,31151
"NE, Sarpy",,3.0,9.0,2.0,3.0,2.0,1.0,,1.0,3.0,8.0,3.0,2.0,2.0,2.0,5.0,5.0,33.0,2.0,,41.115064,-96.109125,31153
"NE, Saunders",,2.0,19.0,2.0,1.0,3.0,6.0,1.0,,,,5.0,1.0,1.0,,1.0,,4.0,1.0,1.0,41.223152,-96.640923,31155
"NE, Scotts Bluff",,5.0,45.0,2.0,15.0,16.0,15.0,2.0,4.0,3.0,1.0,15.0,19.0,10.0,4.0,7.0,8.0,2.0,2.0,0.0,41.851589,-103.70586,31157
"NE, Seward",,1.0,24.0,1.0,0.0,2.0,1.0,2.0,1.0,,1.0,2.0,3.0,3.0,,0.0,1.0,,,,40.871944,-97.140383,31159
"NE, Sheridan",,0.0,9.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,,0.0,5.0,0.0,2.0,0.0,,,1.0,,42.507074,-102.389698,31161
"NE, Sherman",,0.0,14.0,,0.0,1.0,1.0,,,,,,,1.0,1.0,0.0,1.0,,,,41.218743,-98.972849,31163
"NE, Sioux",,0.0,0.0,0.0,,0.0,,,,,,,1.0,,1.0,,,,,,42.483806,-103.742605,31165
"NE, Stanton",,0.0,0.0,,0.0,0.0,0.0,0.0,,,,1.0,1.0,,,,1.0,,,,41.904793,-97.174724,31167
"NE, Thayer",,5.0,18.0,,0.0,2.0,1.0,,,,,0.0,1.0,2.0,2.0,,,1.0,,,40.173845,-97.596263,31169
"NE, Thomas",,0.0,2.0,,,,1.0,,,,,,0.0,,,,,,,,41.84862,-100.506911,31171
"NE, Thurston",,0.0,1.0,,,,0.0,,,,,,1.0,,,2.0,,,,,42.154061,-96.533943,31173
"NE, Valley",,2.0,20.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,,1.0,1.0,,,,41.564094,-98.983484,31175
"NE, Washington",,1.0,12.0,0.0,1.0,,1.0,,1.0,0.0,2.0,3.0,4.0,0.0,,2.0,0.0,6.0,2.0,,41.533979,-96.224574,31177
"NE, Wayne",,1.0,2.0,0.0,0.0,1.0,0.0,0.0,,,0.0,1.0,0.0,0.0,2.0,,0.0,1.0,,0.0,42.210746,-97.126243,31179
"NE, Webster",,0.0,8.0,1.0,1.0,0.0,1.0,2.0,,1.0,,1.0,3.0,0.0,1.0,,0.0,1.0,0.0,,40.180646,-98.49859,31181
"NE, Wheeler",,0.0,1.0,,0.0,,0.0,,,,,,,1.0,,,,,,,41.937859,-98.522289,31183
"NE, York",,3.0,31.0,0.0,5.0,4.0,1.0,1.0,6.0,0.0,,4.0,3.0,3.0,2.0,3.0,0.0,2.0,1.0,,40.873056,-97.596742,31185
"NH, Belknap",,0.0,1.0,,,,,,,,,,0.0,,,,,,,,43.519109,-71.425366,33001
"NH, Carroll",,0.0,,,,,,,,,,,,,,,,,,,43.867567,-71.201665,33003
"NH, Cheshire",,0.0,0.0,,0.0,,,,,,0.0,,1.0,,0.0,,0.0,0.0,,,42.925455,-72.248217,33005
"NH, Grafton",,0.0,0.0,,,,,,,,,,,,0.0,,,,,,43.926488,-71.842264,33009
"NH, Hillsborough",0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,42.911643,-71.723101,33011
"NH, Merrimack",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,43.299485,-71.68013,33013
"NH, Rockingham",0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,,42.98936,-71.099437,33015
"NH, Strafford",0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,,,43.293177,-71.035927,33017
"NH, Sullivan",,,0.0,,,,,,,,,,,,,,,,,,43.361188,-72.222084,33019
"NJ, Atlantic",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,39.469354,-74.633758,34001
"NJ, Bergen",1.0,6.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,10.0,2.0,0.0,40.95909,-74.074522,34003
"NJ, Burlington",0.0,3.0,4.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,3.0,2.0,0.0,4.0,0.0,0.0,3.0,2.0,0.0,39.875786,-74.663006,34005
"NJ, Camden",3.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,5.0,5.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,39.802352,-74.961251,34007
"NJ, Cape May",0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,39.086143,-74.847716,34009
"NJ, Cumberland",0.0,1.0,1.0,0.0,,,0.0,0.0,0.0,1.0,,0.0,0.0,,5.0,0.0,0.0,2.0,0.0,0.0,39.328387,-75.121644,34011
"NJ, Essex",1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,40.787217,-74.246136,34013
"NJ, Gloucester",0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,39.721019,-75.143708,34015
"NJ, Hudson",1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,40.731384,-74.078627,34017
"NJ, Hunterdon",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,40.565283,-74.91197,34019
"NJ, Mercer",0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,40.282503,-74.703724,34021
"NJ, Middlesex",2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,2.0,1.0,5.0,0.0,0.0,40.439593,-74.407585,34023
"NJ, Monmouth",0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,4.0,0.0,2.0,40.287056,-74.152446,34025
"NJ, Morris",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,40.858581,-74.547427,34027
