,county,year,infections
17504,"NE, Holt",2015,1
18599,"NE, Holt",2016,
19786,"NE, Holt",2017,3
21110,"NE, Holt",2018,3
22135,"NE, Holt",2019,1
22680,"NE, Holt",2020,
1573,"NE, Hooker",2002,
3927,"NE, Hooker",2003,2
7370,"NE, Hooker",2005,
11003,"NE, Hooker",2008,1
15374,"NE, Hooker",2013,1
21111,"NE, Hooker",2018,1
1574,"NE, Howard",2002,
3928,"NE, Howard",2003,10
5940,"NE, Howard",2004,1
7371,"NE, Howard",2005,
8743,"NE, Howard",2006,2
9999,"NE, Howard",2007,1
11004,"NE, Howard",2008,
11769,"NE, Howard",2009,1
14001,"NE, Howard",2012,
15375,"NE, Howard",2013,2
16482,"NE, Howard",2014,
18600,"NE, Howard",2016,1
19787,"NE, Howard",2017,1
21112,"NE, Howard",2018,1
1575,"NE, Jefferson",2002,
3929,"NE, Jefferson",2003,10
7372,"NE, Jefferson",2005,1
8744,"NE, Jefferson",2006,
10000,"NE, Jefferson",2007,1
11770,"NE, Jefferson",2009,
12467,"NE, Jefferson",2010,1
13030,"NE, Jefferson",2011,1
14002,"NE, Jefferson",2012,2
15376,"NE, Jefferson",2013,1
16483,"NE, Jefferson",2014,
18601,"NE, Jefferson",2016,
21113,"NE, Jefferson",2018,
1576,"NE, Johnson",2002,1
3930,"NE, Johnson",2003,4
5941,"NE, Johnson",2004,
11771,"NE, Johnson",2009,
1577,"NE, Kearney",2002,4
3931,"NE, Kearney",2003,30
5942,"NE, Kearney",2004,
7373,"NE, Kearney",2005,2
8745,"NE, Kearney",2006,7
12468,"NE, Kearney",2010,1
14003,"NE, Kearney",2012,
15377,"NE, Kearney",2013,2
16484,"NE, Kearney",2014,1
18602,"NE, Kearney",2016,1
19788,"NE, Kearney",2017,1
21114,"NE, Kearney",2018,2
1578,"NE, Keith",2002,
3932,"NE, Keith",2003,34
5943,"NE, Keith",2004,2
7374,"NE, Keith",2005,5
8746,"NE, Keith",2006,5
10001,"NE, Keith",2007,2
11005,"NE, Keith",2008,1
12469,"NE, Keith",2010,
14004,"NE, Keith",2012,1
15378,"NE, Keith",2013,4
16485,"NE, Keith",2014,1
17505,"NE, Keith",2015,1
18603,"NE, Keith",2016,2
19789,"NE, Keith",2017,1
1579,"NE, Keya Paha",2002,
3933,"NE, Keya Paha",2003,4
5944,"NE, Keya Paha",2004,1
11006,"NE, Keya Paha",2008,1
11772,"NE, Keya Paha",2009,
1580,"NE, Kimball",2002,
3934,"NE, Kimball",2003,14
14005,"NE, Kimball",2012,
1581,"NE, Knox",2002,2
3935,"NE, Knox",2003,12
7375,"NE, Knox",2005,2
10002,"NE, Knox",2007,1
11007,"NE, Knox",2008,
12470,"NE, Knox",2010,1
14006,"NE, Knox",2012,7
15379,"NE, Knox",2013,3
18604,"NE, Knox",2016,6
19790,"NE, Knox",2017,
21115,"NE, Knox",2018,2
1582,"NE, Lancaster",2002,16
3936,"NE, Lancaster",2003,114
5945,"NE, Lancaster",2004,3
7376,"NE, Lancaster",2005,7
8747,"NE, Lancaster",2006,15
10003,"NE, Lancaster",2007,12
11008,"NE, Lancaster",2008,5
11773,"NE, Lancaster",2009,1
12471,"NE, Lancaster",2010,3
13031,"NE, Lancaster",2011,1
14007,"NE, Lancaster",2012,15
15380,"NE, Lancaster",2013,14
16486,"NE, Lancaster",2014,7
17506,"NE, Lancaster",2015,10
18605,"NE, Lancaster",2016,9
19791,"NE, Lancaster",2017,5
21116,"NE, Lancaster",2018,18
22136,"NE, Lancaster",2019,1
22681,"NE, Lancaster",2020,6
1583,"NE, Lincoln",2002,4
3937,"NE, Lincoln",2003,126
5946,"NE, Lincoln",2004,3
7377,"NE, Lincoln",2005,2
8748,"NE, Lincoln",2006,17
10004,"NE, Lincoln",2007,11
11009,"NE, Lincoln",2008,3
11774,"NE, Lincoln",2009,2
12472,"NE, Lincoln",2010,3
13032,"NE, Lincoln",2011,
14008,"NE, Lincoln",2012,21
15381,"NE, Lincoln",2013,13
16487,"NE, Lincoln",2014,12
17507,"NE, Lincoln",2015,
18606,"NE, Lincoln",2016,6
19792,"NE, Lincoln",2017,1
21117,"NE, Lincoln",2018,6
22137,"NE, Lincoln",2019,2
22682,"NE, Lincoln",2020,
1584,"NE, Logan",2002,
3938,"NE, Logan",2003,5
7378,"NE, Logan",2005,1
15382,"NE, Logan",2013,
18607,"NE, Logan",2016,
22683,"NE, Logan",2020,1
1585,"NE, Loup",2002,
3939,"NE, Loup",2003,
7379,"NE, Loup",2005,
15383,"NE, Loup",2013,1
1587,"NE, Madison",2002,2
3941,"NE, Madison",2003,10
5947,"NE, Madison",2004,
7380,"NE, Madison",2005,3
8749,"NE, Madison",2006,6
10005,"NE, Madison",2007,1
11010,"NE, Madison",2008,1
11775,"NE, Madison",2009,4
12473,"NE, Madison",2010,
13033,"NE, Madison",2011,
14010,"NE, Madison",2012,5
15384,"NE, Madison",2013,3
16488,"NE, Madison",2014,3
17508,"NE, Madison",2015,2
18608,"NE, Madison",2016,2
19793,"NE, Madison",2017,1
21118,"NE, Madison",2018,8
22138,"NE, Madison",2019,1
1586,"NE, Mcpherson",2002,
3940,"NE, Mcpherson",2003,1
14009,"NE, Mcpherson",2012,
1588,"NE, Merrick",2002,5
3942,"NE, Merrick",2003,24
8750,"NE, Merrick",2006,2
10006,"NE, Merrick",2007,3
11011,"NE, Merrick",2008,1
14011,"NE, Merrick",2012,1
16489,"NE, Merrick",2014,3
17509,"NE, Merrick",2015,1
18609,"NE, Merrick",2016,1
21119,"NE, Merrick",2018,1
1589,"NE, Morrill",2002,
3943,"NE, Morrill",2003,7
5948,"NE, Morrill",2004,1
7381,"NE, Morrill",2005,4
8751,"NE, Morrill",2006,4
10007,"NE, Morrill",2007,4
11012,"NE, Morrill",2008,2
11776,"NE, Morrill",2009,
14012,"NE, Morrill",2012,5
15385,"NE, Morrill",2013,2
16490,"NE, Morrill",2014,1
17510,"NE, Morrill",2015,1
19794,"NE, Morrill",2017,4
21120,"NE, Morrill",2018,2
1590,"NE, Nance",2002,
3944,"NE, Nance",2003,7
7382,"NE, Nance",2005,1
8752,"NE, Nance",2006,1
10008,"NE, Nance",2007,
11777,"NE, Nance",2009,1
16491,"NE, Nance",2014,1
21121,"NE, Nance",2018,1
22684,"NE, Nance",2020,1
1591,"NE, Nemaha",2002,
3945,"NE, Nemaha",2003,3
5949,"NE, Nemaha",2004,
8753,"NE, Nemaha",2006,
11013,"NE, Nemaha",2008,1
15386,"NE, Nemaha",2013,1
16492,"NE, Nemaha",2014,2
21122,"NE, Nemaha",2018,3
1592,"NE, Nuckolls",2002,
3946,"NE, Nuckolls",2003,4
5950,"NE, Nuckolls",2004,
7383,"NE, Nuckolls",2005,2
8754,"NE, Nuckolls",2006,1
10009,"NE, Nuckolls",2007,1
15387,"NE, Nuckolls",2013,
16493,"NE, Nuckolls",2014,2
17511,"NE, Nuckolls",2015,2
18610,"NE, Nuckolls",2016,1
21123,"NE, Nuckolls",2018,2
1593,"NE, Otoe",2002,1
3947,"NE, Otoe",2003,11
5951,"NE, Otoe",2004,
7384,"NE, Otoe",2005,
8755,"NE, Otoe",2006,
11014,"NE, Otoe",2008,
16494,"NE, Otoe",2014,1
17512,"NE, Otoe",2015,1
18611,"NE, Otoe",2016,
21124,"NE, Otoe",2018,3
1594,"NE, Pawnee",2002,1
3948,"NE, Pawnee",2003,2
16495,"NE, Pawnee",2014,1
1595,"NE, Perkins",2002,
3949,"NE, Perkins",2003,14
5952,"NE, Perkins",2004,1
7385,"NE, Perkins",2005,
8756,"NE, Perkins",2006,2
10010,"NE, Perkins",2007,3
11778,"NE, Perkins",2009,3
12474,"NE, Perkins",2010,1
15388,"NE, Perkins",2013,2
17513,"NE, Perkins",2015,1
19795,"NE, Perkins",2017,1
21125,"NE, Perkins",2018,
1596,"NE, Phelps",2002,3
3950,"NE, Phelps",2003,42
5953,"NE, Phelps",2004,2
7386,"NE, Phelps",2005,3
8757,"NE, Phelps",2006,8
10011,"NE, Phelps",2007,2
11015,"NE, Phelps",2008,
11779,"NE, Phelps",2009,2
12475,"NE, Phelps",2010,1
13034,"NE, Phelps",2011,
14013,"NE, Phelps",2012,1
15389,"NE, Phelps",2013,6
16496,"NE, Phelps",2014,1
17514,"NE, Phelps",2015,
18612,"NE, Phelps",2016,1
19796,"NE, Phelps",2017,
21126,"NE, Phelps",2018,
22139,"NE, Phelps",2019,
22685,"NE, Phelps",2020,
1597,"NE, Pierce",2002,
3951,"NE, Pierce",2003,7
7387,"NE, Pierce",2005,1
10012,"NE, Pierce",2007,
14014,"NE, Pierce",2012,2
15390,"NE, Pierce",2013,1
16497,"NE, Pierce",2014,2
18613,"NE, Pierce",2016,1
19797,"NE, Pierce",2017,
22686,"NE, Pierce",2020,1
1598,"NE, Platte",2002,7
3952,"NE, Platte",2003,38
5954,"NE, Platte",2004,
7388,"NE, Platte",2005,8
8758,"NE, Platte",2006,9
10013,"NE, Platte",2007,5
11016,"NE, Platte",2008,1
11780,"NE, Platte",2009,3
14015,"NE, Platte",2012,
15391,"NE, Platte",2013,2
16498,"NE, Platte",2014,6
17515,"NE, Platte",2015,2
18614,"NE, Platte",2016,1
19798,"NE, Platte",2017,2
21127,"NE, Platte",2018,4
22140,"NE, Platte",2019,
22687,"NE, Platte",2020,
1599,"NE, Polk",2002,1
3953,"NE, Polk",2003,21
7389,"NE, Polk",2005,2
8759,"NE, Polk",2006,2
10014,"NE, Polk",2007,1
11781,"NE, Polk",2009,1
14016,"NE, Polk",2012,3
15392,"NE, Polk",2013,2
16499,"NE, Polk",2014,
17516,"NE, Polk",2015,
18615,"NE, Polk",2016,1
21128,"NE, Polk",2018,2
1600,"NE, Red Willow",2002,
3954,"NE, Red Willow",2003,37
5955,"NE, Red Willow",2004,1
7390,"NE, Red Willow",2005,
8760,"NE, Red Willow",2006,2
11017,"NE, Red Willow",2008,
11782,"NE, Red Willow",2009,
12476,"NE, Red Willow",2010,
14017,"NE, Red Willow",2012,
15393,"NE, Red Willow",2013,2
16500,"NE, Red Willow",2014,2
17517,"NE, Red Willow",2015,
18616,"NE, Red Willow",2016,2
19799,"NE, Red Willow",2017,2
21129,"NE, Red Willow",2018,1
22141,"NE, Red Willow",2019,
22688,"NE, Red Willow",2020,1
1601,"NE, Richardson",2002,
3955,"NE, Richardson",2003,2
5956,"NE, Richardson",2004,
7391,"NE, Richardson",2005,
8761,"NE, Richardson",2006,
10015,"NE, Richardson",2007,1
11783,"NE, Richardson",2009,
12477,"NE, Richardson",2010,
13035,"NE, Richardson",2011,
14018,"NE, Richardson",2012,
15394,"NE, Richardson",2013,
16501,"NE, Richardson",2014,1
17518,"NE, Richardson",2015,
18617,"NE, Richardson",2016,
21130,"NE, Richardson",2018,2
1602,"NE, Rock",2002,
3956,"NE, Rock",2003,4
7392,"NE, Rock",2005,
10016,"NE, Rock",2007,3
1603,"NE, Saline",2002,5
3957,"NE, Saline",2003,19
7393,"NE, Saline",2005,3
8762,"NE, Saline",2006,7
10017,"NE, Saline",2007,
11018,"NE, Saline",2008,2
11784,"NE, Saline",2009,1
14019,"NE, Saline",2012,
